ITEM,DESCRIPTION,PRICE/ NET,,Summer Offensive Sales,
A2006,MTC3  1/10 4WD EP TOURING KIT W/O WHEELS INCL. ALUMI CHASSIS,529,"4pcs / 499,00€","*449,00€","*4pcs / 429,00€"
B2001,MSB1  1/10 2WD EP BUGGY KIT,309,"4pcs / 299,00€",xxx,xxx
E2027,"MBX-8 ""R"" NITRO 1/8 4WD OFF-ROAD BUGGY W/O WHEELS ",529,"4pcs / 499,00€","*449,00€","*4pcs / 429,00€"
E2028,"MBX-8 ""R"" ECO 1/8 4WD OFF-ROAD BUGGY W/O WHEELS ",529,"4pcs / 499,00€","*449,00€","*4pcs / 429,00€"
E2027,"MBX-8 ""R"" NITRO 1/8 Premium Edition 4WD OFF-ROAD BUGGY W/O WHEELS ",549,xxx,xxx,xxx
E2028,"MBX-8 ""R"" ECO 1/8 Premium Edition 4WD OFF-ROAD BUGGY W/O WHEELS ",549,xxx,xxx,xxx
E2029,MBX-8T R 1/8 4WD OFF-ROAD TRUGGY W/O WHEELS,579,"4pcs / 549,00€","*529,00€","*4pcs / 489,00€"
E2030,MBX-8T R ECO 1/8 4WD OFF-ROAD TRUGGY W/O WHEELS,579,"4pcs / 549,00€","*529,00€","*4pcs / 489,00€"
,,,
H2009,MRX7 1/8 TOURING KIT W/O WHEELS,649,"4pcs / 619,00€",xxx,xxx
T2006,MTX-7R 1/10 TOURING KIT W/O WHEELS,499,"4pcs / 479,00€",xxx,xxx
,,,,,*valid until Aug. 31st
