part no,descr.,Net price
B0562,Offset Servo Horn 23T,15.935,EUR
B0563,Offset Servo Horn 25T,15.935,EUR
H0142-B,RADIOPLATTENHALTER MRX-5,3.7511000000000001,EUR
H2009,MRX-7 1/8 ON-ROAD FAHRZEUG,649,EUR
H2151-C,Rear Upper Bulkhead  MRX7,14.3477,EUR
H2158-B,Rear Lower Bulkhead  MRX7,18.694800000000001,EUR
H2169,Front Lower Bulkhead  MRX7,24.935099999999998,EUR
H2170,Front Upper Bulkhead  MRX7,14.378,EUR
H2171,Front Upper Arm Bracket  MRX7,18.6797,EUR
H2172,Middle Shaft Bracket  MRX7,28.121600000000001,EUR
H2173L,Gear Shaft Bulkhead L  MRX7,21.794499999999999,EUR
H2173R,Gear Shaft Bulkhead R  MRX7,31.179500000000001,EUR
H2174,Gear Shaft Bulkhead Brace  MRX7,4.9302000000000001,EUR
H2175,Rear Upright  MRX7,7.1538000000000004,EUR
H2176,Rear Upright Insert  MRX7,16.1966,EUR
H2178,Turnbuckle Rear ARB Link  MRX7,8.2891999999999992,EUR
H2179,Front Lower Shock Mount  MRX7,5.4989999999999997,EUR
H2220,BEFESTIGUNGSPLATTE RIEMENSPANNER MRX-5 WC-SPEC,6.6013000000000002,EUR
H2244,Front Oneway MRX7,21.818300000000001,EUR
H2245,Pulley Set  MRX7,12.9087,EUR
H2246,Middle Shaft  MRX7,5.4977,EUR
H2247,2-speed Adaptor  MRX7,7.1562999999999999,EUR
H2248,Alluminum Gear Shaft  MRX7,12.865600000000001,EUR
H2251,Rear Belt Guide  MRX7,6.6082000000000001,EUR
H2252,Pin 2.5x12.8  MRX7,2.76,EUR
H2313,AKKU-HALTER MRX-5,24.333600000000001,EUR
H2315,AKKU-HALTER CARBON MRX-5,30.609400000000001,EUR
H2326,Steering Bracket&Collar  MRX7,11.7264,EUR
H2327,Steering Lever&Rear ARB Link  MRX7,3.8611,EUR
H2402-D,Front Bumper  MRX7,8.2922999999999991,EUR
H2402-DH,Front Bumper (Hard)  MRX7,8.2922999999999991,EUR
H2423,Front Body Post  MRX7,8.3020999999999994,EUR
H2424,Front Bumper Plate  MRX7,11.2342,EUR
H2425,Radio Plate  MRX7,56.216200000000001,EUR
H2427A,Chassis  MRX7,93.735600000000005,EUR
H2427B,Chassis Side Stiffner  MRX7,9.2646999999999995,EUR
H2428,Rear Body Mount  MRX7,39.235999999999997,EUR
H2429,Rear Body Mount Arm  MRX7,5.4764999999999997,EUR
H2518-B,Rear Shock Tower  MRX7,15.0425,EUR
H2519,Front Upper Shock Mount MRX7,9.8731000000000009,EUR
H2725,Engine Mount  MRX7,19.248799999999999,EUR
H2802-B,Fuel Tank Mount  MRX7,5.4764999999999997,EUR
H2811,Fuel Tank  MRX7,11.7439,EUR
H2813,Fuel Tank Spacer  MRX7,4.3047000000000004,EUR
H2902A,RESO ROHR HALTER DRAHT,3.1970000000000001,EUR
A2210,HAUPTZAHNRAD AUFNAHME,4.8653000000000004,EUR
A2422-B,Anschraubgewicht 10g (rund),2.9192,EUR
A2428-B,Anschraubgewicht 5g (rund),3.1475,EUR
A2601-1,"KUGELLAGER 3X6X2,5MM (10)",25.6343,EUR
A2601a,Kugellager (3x6x2.5),5.5739999999999998,EUR
A2802-B,Kugelpfannen,4.8864999999999998,EUR
A2803a,DISTANZSCHEIBE 3X6X1MM (10),8.0850000000000009,EUR
A2804a,DISTANZSCHEIBE 3X6X2MM (10),8.2424999999999997,EUR
A2807a,SPURSTANGEN R/L KURZ ALUMINIUM,4.7594000000000003,EUR
A2808a,SPURSTANGE M4 ALUMINIUM (2),6.7774999999999999,EUR
A2811a,"DISTANZSCHEIBE 3X6X0,5MM (10)",8.0850000000000009,EUR
A2812,Gewindestange re/li  (Querlenker oben),6.2443999999999997,EUR
A2813,Kugel 5mm (Alu),6.8997999999999999,EUR
B0407,ALU-ROSETTE 3MM (10),6.4734999999999996,EUR
B0408,ALU-ROSETTE 4MM (10),6.4734999999999996,EUR
B0413,"SILIKON-SPRITSCHLAUCH, GRAU 100CM",5.9653,EUR
B0422,KAROSSERIEKLAMMERN (8),1.4722999999999999,EUR
B0432,ANTENNKAPPE (5),3.6976,EUR
B0552,"SERVOHORN, ALUMINIUM (23) (SW, KO)",17.1694,EUR
B0553,"SERVOHORN, ALUMINIUM (25) (FUT)",17.1694,EUR
B0554a,RITZEL MONTAGE WERKZEUG (Modul 0.8),31.9605,EUR
B0557,Einstellhilfe für Spurstangen (*1) MTC2R,16.266300000000001,EUR
C0602-1,KUGELLAGER (5X8) (2),7.0823,EUR
C0602-2b,KUGELLAGER (5X8) (10),24.721299999999999,EUR
C0723,MOTORBEF.-SCHRAUBEN MIT SCHEIBEN (4),5.1528,EUR
D0104R,DREHACHSEN QUERLENKER HA UNTEN,4.9077000000000002,EUR
D0105R,KUGELBOLZEN 8MM,4.6836000000000002,EUR
D0506,DÄMPFER-KOLBENSTANGE,5.2461000000000002,EUR
D0508,DÄMPFER-MEMBRANE (8),4.5145,EUR
D0509a,DÄMPFER-O-RINGE (8),9.4346999999999994,EUR
D0807,KAROSSERIESPLINTE (8),3.6850999999999998,EUR
E0210,STIFT 3 X 16.8 FÜR FELGENAUFNAHMEN MBX-5,3.5834000000000001,EUR
E0322,FÜHRUNGSHÜLSE FÜR EMPFÄNGERBOX MBX-6/6T,2.2336999999999998,EUR
E0829a,KUGELKÖPFE STABILISATOR MBX,6.5566000000000004,EUR
E2808,ANTENNENROHR 150MM,2.81,EUR
E2817,O-RINGE P2 (10),2.6995,EUR
H0144,DISTANZSCHEIBEN FÜR D0206/D0105R (8+2) MRX-4,4.6707999999999998,EUR
H0145,"EINSTELLMUTTERN FÜR  LENKHEBEL MRX-4, MTX 4",2.6930000000000001,EUR
H0181A-Ga,"DISTANZSCHEIBEN SET 3MM, STÄRKE 0.5MM (8STK.) ELOX",5.6271000000000004,EUR
H0181B-Ga,"DISTANZSCHEIBEN SET 3MM, STÄRKE 1.0MM (8STK.) ELOX",5.6271000000000004,EUR
H0181C-Ga,"DISTANZSCHEIBEN SET 3MM, STÄRKE 2.0MM (8STK.) ELOX",5.8383000000000003,EUR
H0181D-Ga,"DISTANZSCHEIBEN SET 3MM, STÄRKE 3.0MM (8STK.) ELOX",6.05,EUR
H0187,KUGELBOLZEN 8MM TITAN,13.125,EUR
H0187-1,KUGELBOLZEN 8MM TITAN (8),50.82,EUR
H0240a,ZAHNRIEMEN HA,9.4499999999999993,EUR
H0268,DISTANZSCHEIBEN RADACHSE (4),3.2021000000000002,EUR
H0272-Ba,ANTRIEBSWELLEN VA,20.363600000000002,EUR
H0273a,GELENKSTÜCK AUS H0270,2.4293,EUR
H0274,STIFT 2.5 X 11.8 FÜR GELENKSTÜCK,3.1181999999999999,EUR
H0288,ZAHNRADAUFNAHME 1.GANG,27.618400000000001,EUR
H0293,AUFNAHME RIEMENSPANNER FÜR H0603,4.2202000000000002,EUR
H0362,SERVO-BEFESTIGUNGS SET,11.5311,EUR
H0368,GUMMITÜLLE (10),3.6488999999999998,EUR
H0471,BEFESTIGUNGSSCHRAUBEN (4) MRX-4/MBX-6T,2.387,EUR
H0510a,DÄMPFER-KOLBEN PTFE (2+2),9.4623000000000008,EUR
H0511,DÄMPFER-FEDERN VA SCHWARZ,7.0061999999999998,EUR
H0513,DÄMPFER-EINSTELLMUTTERN FÜR FEDERN,9.9129000000000005,EUR
H0515a,DÄMPFER-FEDERN VA 1.8,9.86,EUR
H0525a,DÄMPFER-FEDERN VA MITTEL (1.8mm / 6.0T),8.8338000000000001,EUR
H0526a,DÄMPFER-FEDERN VA HART,8.8338000000000001,EUR
H0529a,DÄMPFER-FEDERN HA MITTEL,8.8338000000000001,EUR
H0530a,DÄMPFER-FEDERN HA HART,8.8338000000000001,EUR
H0554,DÄMPFER VERSCHLUßKAPPEN,4.6074999999999999,EUR
H0558,DÄMPFER KOLBEN 1.2 X 1 MRX VA,5.2864000000000004,EUR
H0559,DÄMPFER KOLBEN 1.3 X 1 MRX VA,5.2864000000000004,EUR
H0563,DÄMPFER STAUBSCHUTZKAPPE MRX-4,5.6313000000000004,EUR
H0608,KUGELLAGER FÜR H0260,11.1488,EUR
H0704,KURBELWELLENMUTTER,4.2697000000000003,EUR
H0753,KUPPLUNGS-FEDERTELLER,1.8160000000000001,EUR
H0755,KUPPLUNGS-EINSTELLMUTTER,3.9016999999999999,EUR
H0801A,SPURSTANGEN MRX-4,5.3688000000000002,EUR
H0853,STIFTE 3X11.6MM,3.5834000000000001,EUR
H0854,STIFTE KOMPLETT,4.5145,EUR
H0858,KUGELPFANNEN 6MM (10),6.1302000000000003,EUR
H0862,SPURSTANGEN TITAN,23.4175,EUR
H1006/1b,HECKFLÜGEL-EINSTELLSCHRAUBEN 2012,6.3737000000000004,EUR
H1010-1,HECKFLÜGEL MIT ZUBEHÖR NEW 2012,11.1694,EUR
H1011,HECKFLÜGEL,6.2615999999999996,EUR
H2105a,DREHACHSEN QUERLENKER VA UNTEN MRX-5,4.1040999999999999,EUR
H2106a,DREHACHSEN QUERLENKER VA OBEN  MRX-5,3.5118,EUR
H2116,STABILISATORBEGRENZUNG HA MRX-5,8.5611999999999995,EUR
H2118-D,QUERLENKER VA OBEN UND UNTEN (1+1),12.338800000000001,EUR
H2138a,"STABILISATOR VA 2,2 MM",4.7385999999999999,EUR
H2139a,"STABILISATOR VA 2,3 MM",4.7979000000000003,EUR
H2140a,"STABILISATOR VA 2,4 MM",4.7385999999999999,EUR
H2141a,"STABILISATOR VA 2,5 MM",5.1528,EUR
H2153a,"STABILISATOR HA 2,8 MM",5.8635999999999999,EUR
H2154a,"STABILISATOR HA 2,9 MM",5.6864999999999997,EUR
H2155a,"STABILISATOR HA 3,0 MM",6.8113999999999999,EUR
H2156a,KUGELPFANNEN 7MM (4+4),6.3737000000000004,EUR
H2157,EXZENTER-FÜHRUNGSEINSÄTZE DIVERS MRX-6,6.6653000000000002,EUR
H2159-B,ANLENKUNGSHEBEL FÜR STOßDÄMPFER HA MRX-6R (3 mm),6.4984000000000002,EUR
H2161L/Ra,LENKHEBEL MRX-6X,7.4987000000000004,EUR
H2162a,LENKHEBEL EINSATZ MRX-6X,19.670999999999999,EUR
H2163a,QUERLENKER HA (1) MRX-6X,8.4807000000000006,EUR
H2165L/Ra,QUERLENKER VA OBEN,8.4807000000000006,EUR
H2167,ÜBERROLLBÜGEL MRX-6X,14.7948,EUR
H2168,ANLENKUNGSHEBEL FÜR STOßDÄMPFER HA MRX A7075 Alu.(3 mm),6.4984000000000002,EUR
H2204,DISTANZSCHEIBEN RIEMENRADAUFNAHME (2+8) MRX-5,3.5706000000000002,EUR
