Item Code,Item Name,Artikelbeschreibung,Listenpreis,Währung für Listenpreis,EAN Code
A1001,INSTRUCTION MANUAL MTC,BAUANLEITUNG  MTC,3.9076,EUR,4944925036149
A1002,MTC2 INSTRUCTION MANUAL,Bauanleitung MTC-2,4.3692000000000002,EUR,4944925041341
A1003,MTC2 FWD INSTRUCTION MANUAL,Bauanleitung MTC-2 FWD,3.5384000000000002,EUR,4944925042287
A1005,Bauanleitung MTC-2R,Bauanleitung MTC-2R,3.5384000000000002,EUR,4944925902109
A2101L,FRONT UPPER BULKHEAD LEFT,BULKHEAD VORDERACHSE OBEN LINKS,14.2746,EUR,4944925034985
A2101R,FRONT UPPER BULKHEAD RIGHT,BULKHEAD VORDERACHSE OBEN RECHTS,14.2746,EUR,4944925034992
A2102,REAR UPPER BULKHEAD,BULKHEAD HINTERACHSE OBEN,9.7139000000000006,EUR,4944925035005
A2103,LOWER BULKHEAD,BULKHEAD UNTEN,24.965699999999998,EUR,4944925035012
A2104,LOWER ARM MOUNT SEPARATE (2),QUERLENKERHALTER UNTEN (2),18.0061,EUR,4944925035029
A2105A,LOWER ARM MOUNT FF,QUERLENKERHALTER VORDERACHSE UNTEN (VORNE),14.244999999999999,EUR,4944925035036
A2105B,LOWER ARM MOUNT FR,QUERLENKERHALTER VORDERACHSE UNTEN (HINTEN),14.244999999999999,EUR,4944925035043
A2106A,LOWER ARM MOUNT RR,QUERLENKERHALTER HINTERACHSE UNTEN (HINTEN),14.185700000000001,EUR,4944925035050
A2107,LOWER ARM BUSHING,QUERLENKERHALTER BUCHSEN UNTEN,5.2061000000000002,EUR,4944925035067
A2108,FRONT LOWER ARM,QUERLENKER VORDERACHSE UNTEN (1),7.0061999999999998,EUR,4944925035074
A2109,REAR LOWER ARM,QUERLENKER HINTERACHSE UNTEN (1),6.4710999999999999,EUR,4944925035081
A2110a,FRONT UPPER ARM,QUERLENKER VORDERACHSE OBEN (1),7.0061999999999998,EUR,4944925045158
A2111L,FRONT UPPER ARM MOUNT L,QUERLENKERHALTER VORDERACHSE OBEN LINKS,15.518599999999999,EUR,4944925035104
A2111R,FRONT UPPER ARM MOUNT R,QUERLENKERHALTER VORDERACHSE OBEN RECHTS,15.518599999999999,EUR,4944925035111
A2113,FRONT UPPER ARM PIN,QUERLENKER STIFT VORDERACHSE OBEN,4.0487000000000002,EUR,4944925035128
A2115,FRONT UPRIGHT,ACHSTRÄGER VORNE,6.2275999999999998,EUR,4944925035135
A2116,REAR UPRIGHT,ACHSTRÄGER HINTERACHSE,5.4002999999999997,EUR,4944925035142
A2117,FRONT CASTER BLOCK,FRONT NACHLAUF BLOCK,12.8817,EUR,4944925035159
A2118,FRONT CASTER BLOCK PIN (2),FRONT CASTER BLOCK PIN (2),3.7698,EUR,4944925035166
A2119,CASTER BLOCK BUSHING (2),CASTER BLOCK BUSHING (2),3.7698,EUR,4944925035173
A2120,REAR UPRIGHT PIN (2),QUERLENKER STIFT HINTERACHSE (2),5.3983999999999996,EUR,4944925035180
A2121,REAR CAMBER LINK MOUNT,REAR CAMBER LINK MOUNT,9.4937000000000005,EUR,4944925035197
A2122,ARB BUSHING (2),BUCHSE (2),9.8198000000000008,EUR,4944925035203
A2123,FRONT UPPER DECK ULTRA FLEX,CHASSIS OBERDECK VORNE ULTRA FLEX,10.788399999999999,EUR,4944925035210
A2125,REAR UPPER DECK ULTRA FLEX,CHASSIS OBERDECK HINTEN ULTRA FLEX,9.2347999999999999,EUR,4944925035227
A2126,FRONT UPPER DECK MOUNT ULTRA FLEX,CHASSIS HALTER OBERDECK VORNE ULTRA FLEX,8.8591999999999995,EUR,4944925035234
A2127,UPPER DECK,CHASSISPLATTE OBEN,20.425999999999998,EUR,4944925035241
A2128,"FRONT ANTI ROLL BAR (1,3MM)","STABILISATOR VORDERACHSE (1,3MM)",4.3407,EUR,4944925035258
A2129,"REAR ANTI ROLL BAR (1,2MM)","STABILISATOR HINTERACHSE (1,2MM)",4.3407,EUR,4944925035265
A2130,"FRONT ANTI ROLL BAR (1,1MM)","STABILISATOR VORDERACHSE (1,1MM)",4.3407,EUR,4944925035272
A2131,"FRONT ANTI ROLL BAR (1,2MM)","STABILISATOR VORDERACHSE (1,2MM)",4.3025000000000002,EUR,4944925035289
A2132,"FRONT ANTI ROLL BAR (1,4MM)","STABILISATOR VORDERACHSE (1,4MM)",4.3025000000000002,EUR,4944925035357
A2133,"FRONT ANTI ROLL BAR (1,5MM)","STABILISATOR VORDERACHSE (1,5MM)",4.6837,EUR,4944925035340
A2134,"REAR ANTI ROLL BAR (1,1MM)","STABILISATOR HINTERACHSE (1,1MM)",4.3025000000000002,EUR,4944925035333
A2135,"REAR ANTI ROLL BAR (1,3MM)","STABILISATOR HINTERACHSE (1,3MM)",4.3788,EUR,4944925035326
A2136,"REAR ANTI ROLL BAR (1,4MM)","STABILISATOR HINTERACHSE (1,4MM)",4.3788,EUR,4944925035319
A2137,"REAR ANTI ROLL BAR (1,5MM)","STABILISATOR HINTERACHSE (1,5MM)",4.4169,EUR,4944925035302
A2138,FRONT UPRIGHT BUSHING (2),BUCHSEN ACHSTRÄGER VORDERACHSE (2),7.8650000000000002,EUR,4944925035296
A2140,UPPER DECK,CHASSISPLATTE OBEN 2019,19.635000000000002,EUR,4944925038310
A2141L,C-HUB L,C-HUB L,25.113900000000001,EUR,4944925038327
A2141R,C-HUB R,C-HUB R,25.113900000000001,EUR,4944925038334
A2143,CASTER BLOCK BUSHING C-HUB (4),CASTER BLOCK BUSHING C-HUB (4),6.3678999999999997,EUR,4944925038341
A2144,Lower Arm Insert Al.(2),QUERLENKER UNTEN EINSATZ (Alu.) (2),11.0464,EUR,4944925038914
A2145-B,LOWER BULKHEAD,Bulkhead unten,17.82,EUR,4944925046407
A2146,UPPER ARM BRACKET,Querlenkerhalter oben,10.2171,EUR,4944925040474
A2147A,LOWER ARM PIVOT INSERT,Pivot Einsatz Querlenker unten,14.215400000000001,EUR,4944925040481
A2147B,LOWER ARM PIVOT INSERT NUT,Pivot Einsatz Mutter Querlenker unten,4.8567999999999998,EUR,4944925040498
A2147F,FRONT LOWER ARM,Querlenker Vorderachse unten,14.614800000000001,EUR,4944925040504
A2147R,REAR LOWER ARM,Querlenker Hinterachse unten,14.614800000000001,EUR,4944925040511
A2148-H,Querlenker oben & Zubehörteile (hart),Querlenker oben & Zubehörteile (hart),6.8,EUR,4944925901737
A2148,UPPER ARM+PARTS,Querlenker oben & Zubehörteile,5.5381999999999998,EUR,4944925040528
A2148,Querlenker oben & Zubehörteile,Querlenker oben & Zubehörteile,5.5381999999999998,EUR,4944925040528
A2149,UPRIGHT,Radträger,12.86,EUR,4944925040535
A2150,UPRIGHT LEVER,Lenkhebel (Radträger),9.1199999999999992,EUR,4944925040542
A2151,UPPER DECK (2mm),Oberdeck (2mm Standard),23.3032,EUR,4944925040559
A2152,UPPER DECK (1.6mm),"Oberdeck (1,6mm Optional)",20.713999999999999,EUR,4944925040566
A2153/105,ANTI-ROLL BAR (φ1.05mm),"Stabilisator (1,05mm)",4.68,EUR,4944925045233
A2153/10a,ANTI-ROLL BAR (φ1.0mm),"Stabilisator (1,0mm)",4.68,EUR,4944925045165
A2153/115,ANTI-ROLL BAR (φ1.15mm),"Stabilisator (1,15mm)",4.68,EUR,4944925046414
A2153/11a,ANTI-ROLL BAR (φ1.1mm),"Stabilisator(1,1mm)",4.68,EUR,4944925045172
A2153/12a,ANTI-ROLL BAR (φ1.2mm),"Stabilisator(1,2mm)",4.68,EUR,4944925045189
A2154,ANTI-ROLL BAR MOUNT,Stabihalter,11.0761,EUR,4944925040603
A2155,ANTI-ROLL BAR LINK BALL,Kugel (StabilisatorVerbindung),3.96,EUR,4944925040610
A2156,ARB BALL LONG SHAFT,Kugel für Stabibefestigung am Querlenker hinten,4.2348999999999997,EUR,4944925040627
A2158,BRACE UPPER DECK,Verstrebung Oberdeck/Bulkhead,5.0007999999999999,EUR,4944925040641
A2159,2PC UPPER DECK ( 1 pcs ),Chassis Oberdeck 2Teilig ( 1 Stk.),10.1538,EUR,4944925041419
A2160,2PC UPPER DECK SCREW,Chassis Oberdeck Schraubensatz,3.2343000000000002,EUR,4944925041426
A2161,UPPER DECK,Oberdeck,23.332000000000001,EUR,4944925041921
A2162,2PC UPPER DECK ( 1 pcs ),Chassis Oberdeck 2Teilig ( 1 Stk.),13.6652,EUR,4944925041938
A2163,CHASSIS FLEX POST,CHASSIS FLEX POST,4.1163999999999996,EUR,4944925041945
A2164,LOWER BULKHEAD,Bulkhead unten,20.547999999999998,EUR,4944925901744
A2165,Querlenkerhalter oben,Querlenkerhalter oben,12.558,EUR,4944925901751
A2166,"Oberdeck (1,6mm Optional)","Oberdeck (1,6mm Optional)",29.75,EUR,4944925901768
A2167F,Querlenker Vorderachse unten (-1mm),Querlenker Vorderachse unten (-1mm),15.307499999999999,EUR,4944925901775
A2169,Lenkhebel (Radträger),Lenkhebel (Radträger),11.631399999999999,EUR,4944925901782
A2170,2PC UPPER DECK ( 1 pcs ),Chassis Oberdeck 2Teilig ( 1 Stk.),17.765000000000001,EUR,4944925901799
A2171A,Aluminum Bulkhead (1),Aluminium Bulkhead (1),19.325500000000002,EUR,4944925912849
A2171B,Upper Arm Ball (2),Kugel für Querlenker Oben (2),13.427,EUR,4944925912856
A2172F,Carbon Front Lower Arm (1),Kohlefaser Querlenker Vorne Unten (1),13.407299999999999,EUR,4944925912863
A2172R,Carbon Rear Lower Arm (1),Kohlefaser Querlenker Hinten Unten (1),13.407299999999999,EUR,4944925912870
A2173F,Front Chassis Ball Brace (1),Chassis Ball Brace Vorne (1),7.9649999999999999,EUR,4944925912887
